461,ARD,A,Ardagh,17
462,ARDS,A,Aridis,7
463,ARDX,A,Ardelyx,6
465,AREC,A,American,2
466,ARES,A,Ares,37
467,ARGO,A,Argo,54
468,ARGX,A,Argenx,195
469,ARI,A,Apollo,15
470,ARKO,A,ARKO,10
471,ARKR,A,Ark,17
473,ARLO,A,Arlo,5
474,ARLP,A,Alliance,10
475,ARMK,A,Aramark,34
476,ARMP,A,Armata,4
477,ARNA,A,Arena,59
478,ARNC,A,Arconic,23
479,AROC,A,Archrock,8
480,AROW,A,Arrow,32
482,ARQT,A,Arcutis,28
483,ARR,A,ARMOUR,14
484,ARRW,A,Arrowroot,10
485,ARRY,A,Array,33
495,ARYB,A,ARYA,
504,ASFI,A,Asta,
513,ASNA,A,Ascena,
514,ASNAQ,A,Ascena,
519,ASPI,A,Aspire,
557,ATLS,A,Atlas,
575,ATSP,A,Archimedes,
578,ATV,A,Acorn,
581,ATWO,A,Acies,
587,AUG,A,Auryn,
589,AUNA,A,Auna,
600,AVAC,A,Avalon,
632,AWSM,A,Cool,
637,AXE,A,Anixter,
639,AXGT,A,Axovant,
489,ARTNA,A,Artesian,37
490,ARTW,A,Arts-Way,2
491,ARVN,A,Arvinas,39
492,ARW,A,Arrow,82
493,ARWR,A,Arrowhead,45
494,ARYA,A,Arya,12
497,ASA,A,ASA,16
498,ASAI,A,Sendas,15
499,ASAN,A,Asana,33
500,ASAQ,A,Atlantic,10
501,ASAX,A,Astrea,10
503,ASC,A,Ardmore,5
505,ASGN,A,ASGN,70
506,ASH,A,Ashland,76
507,ASIX,A,AdvanSix,22
508,ASLE,A,AerSale,11
509,ASLN,A,ASLAN,3
510,ASM,A,Avino,1
511,ASMB,A,Assembly,14
512,ASML,A,ASML,348
516,ASND,A,Ascendis,129
517,ASO,A,Academy,25
518,ASPC,A,Alpha,10
520,ASPL,A,Aspirational,10
521,ASPN,A,Aspen,10
522,ASPS,A,Altisource,15
524,ASR,A,Grupo,153
525,ASRT,A,Assertio,6
526,ASRV,A,AmeriServ,4
527,ASTC,A,Astrotech,2
528,ASTE,A,Astec,46
529,ASUR,A,Asure,7
531,ASXC,A,Asensus,8
532,ASYS,A,Amtech,6
533,ASZ,A,Austerlitz,10
534,AT,A,Atlantic,2
535,ATA,A,Americas,10
536,ATAC,A,Altimar,10
537,ATAQ,A,Altimar,10
538,ATAX,A,America,6
540,ATCO,A,Atlas,10
541,ATCX,A,Atlas,9
542,ATEC,A,Alphatec,7
543,ATEN,A,A10,8
544,ATEX,A,Anterix,43
545,ATGE,A,Adtalem,37
546,ATH,A,Athene,42
547,ATHA,A,Athira,21
548,ATHE,A,Alterity,1
549,ATHM,A,Autohome,88
551,ATHX,A,Athersys,2
552,ATI,A,Allegheny,18
553,ATIF,A,ATIF,2
554,ATKR,A,Atkore,37
555,ATLC,A,Atlanticus,13
556,ATLO,A,Ames,24
559,ATMS,A,Artemis,1
560,ATNF,A,180,9
561,ATNI,A,ATN,56
562,ATNM,A,Actinium,9
563,ATNX,A,Athenex,12
564,ATO,A,Atmos,102
566,ATOS,A,Atossa,2
567,ATR,A,AptarGroup,119
568,ATRA,A,Atara,18
569,ATRC,A,AtriCure,42
570,ATRI,A,Atrion,709
571,ATRO,A,Astronics,21
572,ATRS,A,Antares,3
573,ATRX,A,Adhera,0
576,ATTO,A,Atento,14
577,ATUS,A,Altice,28
579,ATVC,A,Tribe,10
580,ATVI,A,Activision,68
582,ATXI,A,Avenue,7
583,AU,A,AngloGold,21
584,AUB,A,Atlantic,32
585,AUBN,A,Auburn,42
588,AUMN,A,Golden,0
590,AUOTY,A,AU,4
591,AUPH,A,Aurinia,12
592,AURC,A,Aurora,10
593,AUS,A,Austerlitz,10
594,AUTL,A,Autolus,14
595,AUTO,A,AutoWeb,3
596,AUUD,A,Auddia,3
598,AUY,A,Yamana,4
599,AVA,A,Avista,43
601,AVAL,A,Grupo,7
602,AVAN,A,Avanti,10
603,AVAV,A,AeroVironment,76
604,AVB,A,AvalonBay,186
605,AVCO,A,Avalon,2
606,AVCT,A,American,7
607,AVD,A,American,16
608,AVDL,A,Avadel,6
609,AVDR,A,Avedro,28
610,AVEO,A,AVEO,7
612,AVGR,A,Avinger,2
613,AVID,A,Avid,11
614,AVIR,A,Atea,44
615,AVLNF,A,Avalon,0
616,AVLR,A,Avalara,103
617,AVNS,A,Avanos,38
619,AVNW,A,Aviat,13
620,AVO,A,Mission,18
621,AVRO,A,Avrobio,16
622,AVT,A,Avnet,37
623,AVTR,A,Avantor,21
624,AVXL,A,Anavex,5
625,AVY,A,Avery,133
626,AVYA,A,Avaya,17
628,AWI,A,Armstrong,86
629,AWK,A,American,131
630,AWR,A,American,79
631,AWRE,A,Aware,3
633,AWX,A,Avalon,2
634,AX,A,Axos,31
635,AXAS,A,Abraxas,9
636,AXDX,A,Accelerate,14
640,AXIM,A,AXIM,1
641,AXL,A,American,9
642,AXLA,A,Axcella,6
643,AXNX,A,Axonics,37
644,AXON,A,Axon,90
645,AXP,A,American,117
646,AXR,A,AMREP,7
648,AXSM,A,Axsome,54
684,BASI,B,Bioanalytical,
703,BBX,B,BBX,
715,BCIC,B,BCC,
719,BCOM,B,B,
728,BCTA,B,B,
735,BDGE,B,Bridge,
740,BDS,B,Building,
747,BEAT,B,BioTelemetry,
761,BF.A,B,Brown-Forman,
762,BF.B,B,Brown-Forman,
771,BFT,B,Foley,
772,BFYT,B,Benefytt,
776,BGG,B,Briggs,
777,BGGSQ,B,Briggs,
785,BH.A,B,Biglari,
813,BITA,B,Bitauto,
650,AXTI,A,AXT,6
652,AY,A,Atlantica,28
653,AYI,A,Acuity,124
654,AYLA,A,Ayala,12
655,AYRO,A,AYRO,6
656,AYTU,A,Aytu,12
657,AYX,A,Alteryx,109
658,AZEK,A,AZEK,39
660,AZO,A,AutoZone,1135
